paper-id,dataset,provenance,numConfigurations(KG),location,repository,expected format,approx size,license,collectable,notes
kumar2025,ds-TiCr2H-c14,Published,3766,https://doi.org/10.18419/DARUS-5169,"DaRUS (Univ. of Stuttgart Dataverse)","same deposit: C14 training data + fitted C14.mtp",94 MB (same deposit as C15),CC BY 4.0,yes,"See ds-TiCr2H-c15 row."
lysogorskiy2021ace,ds-Cu-lysogorskiy2021ace,InHouse,,https://doi.org/10.5281/zenodo.4734036,Zenodo,"JSON (Cu_FHIaims-PBE-dataset.json.zip; FHI-aims/PBE) + .ace potentials + notebook",12.4 MB,CC BY 4.0,yes,"Paper's data-availability DOI. KG provenance InHouse, but the Cu reference data IS deposited."
lysogorskiy2021ace,ds-Si-lysogorskiy2021ace,Published,2475,https://doi.org/10.17863/CAM.65004,"Apollo (Univ. of Cambridge)",extxyz,87 MB zip,GPL-3.0,yes,"Same physical dataset as ds-Si-bartok2018 (the paper fits ACE to the Bartók-2018 Si DB and deposits only the Si potential); single download serves both entities."
musaelian2023allegro,ds-Li3PO4,InHouse,10000,https://doi.org/10.24435/materialscloud:fr-ts,"Materials Cloud Archive (record 2022.128)","extxyz (li3po4-joint-together.xyz.zip)",261 MB,CC BY 4.0,yes,"Published-version data availability (preprint said 'upon publication'). KG provenance InHouse but deposited."
nitol2024nial,ds-NiAl-nitol2024nial,Published,8450,https://github.com/wftao1995/MTP_dataset,GitHub,"extended XYZ (train.1.xyz + train.2.xyz + valid.xyz) + potential.mtp",~130 MB,none stated,yes,"Data-availability ref resolves to this personal GitHub repo; NO LICENSE (reuse terms unclear). NB the corpus PDF for nitol2024nial is actually Wang et al. (IMR CAS, arXiv:2411.01282) — possible corpus misattribution, flagged to coordinator."
qi2023,ds-TiAl,Published,3798,https://doi.org/10.6084/m9.figshare.24079611,figshare,"monty/pymatgen-loadable JSON (MTP_TiAl.zip) + fitted .mtp + notebook",26 MB,CC BY 4.0,yes,"PDF only says 'available at maml'; chain paper → materialsvirtuallab/maml (mvl_models/pes/TiAl/mtp.2023.04) → figshare DOI, verified."
schutt2018,ds-md17-schutt2018,Published,50000,http://quantum-machine.org/gdml/data/npz/,quantum-machine.org,"npz per molecule (8 molecules; benzene file is md17_benzene2017.npz)",1.94 GB (8 molecules),none stated,yes,"No DOI and no explicit license on the site; per-molecule 73–412 MB; extxyz variants on sgdml.org."
shapeev2016,ds-W-shapeev2016,Published,9693,https://qmml.org/Datasets/w-14.zip,"qmml.org (mirror; original libatoms.org)","extxyz (zip; ASE .db variants existed on libatoms)",9.3 MB zip,none stated,yes,"Paper points to www.libatoms.org; original GAP_1–6 download links all 404 (CDN link rot); qmml w-14 mirror verified live."
smith2017,ds-ANI1-smith2017,InHouse,17200000,https://doi.org/10.6084/m9.figshare.5287732,figshare,"HDF5 (ani_gdb_s0x.h5, x=1–8, in ANI-1_release.tar.gz)",4.81 GB,CC0,yes,"Released via the Sci Data 2017 descriptor (10.1038/sdata.2017.193); loader tools at github.com/isayev/ANI1_dataset. KG provenance InHouse but published."
smith2019ccx,ds-ani1ccx-smith2019ccx,Augmented,500000,https://doi.org/10.6084/m9.figshare.10047041,figshare,"single HDF5 (ani1x-release.h5; ANI-1x DFT + ANI-1ccx CCSD(T)*/CBS properties)",5.59 GB,CC0,yes,"Paper said 'on reasonable request'; actual release via Sci Data 2020 (10.1038/s41597-020-0473-z); loaders at github.com/aiqm/ANI1x_datasets."
wang2018dpkit,ds-water-wang2018,Published,40000,none,,"DeepMD npy/raw (type.raw + set.*/coord|energy|force|box.npy)",,LGPL-3.0 (repo),no,"Full 40000-frame water set never deposited (paper: 'raw data provided in the online package' — even v0.7.1 ships only a few-hundred-frame demo); DP library dead, no verifiable copy on AIS Square. Demo subset kept locally as format reference only."
